k,bic,aic,converged,n_iter,covariance_type
2,2653.666579034281,2111.550389906585,True,11,full
3,1588.0155605464442,772.3545053451413,True,20,full
4,1094.2578285760756,5.051907301164761,True,25,full
5,1106.965331599405,-255.78545574911345,True,29,full
6,1125.3688653267543,-510.9267880953719,True,28,full
7,1163.3970039054398,-746.4435155902943,True,71,full
8,1421.0704511353229,-762.3149344340186,True,47,full
9,1571.9328411399108,-884.9974105030385,True,47,full
10,1687.6272168738615,-1042.8479008426957,True,40,full
